filename,heroname,x,y
201806270214i09.jpg,达摩.png,36,142
201806270214i09.jpg,典韦.png,38,194
201806270214i09.jpg,貂蝉.png,110,194
201806270214i09.jpg,阿珂.png,156,238
201806270214i09.jpg,达摩.png,29,146
201806270214i09.jpg,典韦.png,39,194
201806270214i09.jpg,貂蝉.png,109,190
201806270214i09.jpg,阿珂.png,151,242
201806270215i26.jpg,典韦.png,36,37
201806270215i26.jpg,狄仁杰.png,60,32
201806270215i26.jpg,达摩.png,96,57
201806270215i26.jpg,哪吒.png,117,44
201806270215i26.jpg,女娲.png,134,50
201806270215i26.jpg,貂蝉.png,159,145
201806270215i26.jpg,阿珂.png,146,210
201806270215i42.jpg,貂蝉.png,31,54
201806270215i42.jpg,雅典娜.png,16,88
201806270215i42.jpg,达摩.png,83,151
201806270215i42.jpg,干将莫邪.png,156,160
201806270215i42.jpg,阿珂.png,263,162
201806270215i42.jpg,狄仁杰.png,175,257
201806270215i42.jpg,典韦.png,267,261
201806270215i56.jpg,雅典娜.png,26,48
201806270215i56.jpg,阿珂.png,139,68
201806270215i56.jpg,貂蝉.png,98,177
201806270215i56.jpg,达摩.png,59,189
201806270215i56.jpg,狄仁杰.png,262,242
201806270216i14.jpg,雅典娜.png,38,43
201806270216i14.jpg,达摩.png,60,51
201806270216i14.jpg,貂蝉.png,80,95
201806270216i14.jpg,阿珂.png,136,70
201806270216i14.jpg,女娲.png,167,142
201806270216i14.jpg,狄仁杰.png,255,202
201806270216i15.jpg,雅典娜.png,40,42
201806270216i15.jpg,达摩.png,60,54
201806270216i15.jpg,貂蝉.png,77,99
201806270216i15.jpg,阿珂.png,132,76
201806270216i15.jpg,女娲.png,163,140
201806270216i15.jpg,狄仁杰.png,254,206
201806270216i29.jpg,哪吒.png,51,17
201806270216i29.jpg,达摩.png,42,63
201806270216i29.jpg,貂蝉.png,174,125
201806270216i29.jpg,狄仁杰.png,196,118
201806270216i29.jpg,阿珂.png,252,263
201806270232i04.jpg,貂蝉.png,146,162
201806270232i04.jpg,达摩.png,70,152
201806270232i04.jpg,典韦.png,61,189
201806270232i04.jpg,阿珂.png,153,242
201806270232i06.jpg,貂蝉.png,143,157
201806270232i06.jpg,达摩.png,69,150
201806270232i06.jpg,典韦.png,60,191
201806270232i12.jpg,貂蝉.png,146,162
201806270232i12.jpg,达摩.png,72,152
201806270232i12.jpg,典韦.png,59,189
201806270232i12.jpg,阿珂.png,155,248
201806270232i13.jpg,貂蝉.png,136,164
201806270232i13.jpg,达摩.png,78,155
201806270232i13.jpg,典韦.png,60,188
201806270232i13.jpg,阿珂.png,162,245
201806270232i15.jpg,女娲.png,162,141
201806270232i15.jpg,貂蝉.png,154,172
201806270232i15.jpg,阿珂.png,159,242
201806270232i15.jpg,达摩.png,72,151
201806270232i15.jpg,典韦.png,68,189
201806270232i16.jpg,女娲.png,162,142
201806270232i16.jpg,达摩.png,72,146
201806270232i16.jpg,貂蝉.png,142,171
201806270232i16.jpg,典韦.png,67,193
201806270232i16.jpg,阿珂.png,160,244
201806270232i17.jpg,女娲.png,166,137
201806270232i17.jpg,貂蝉.png,141,166
201806270232i17.jpg,达摩.png,74,152
201806270232i17.jpg,典韦.png,55,190
201806270232i17.jpg,阿珂.png,158,242
201806270232i18.jpg,女娲.png,159,133
201806270232i18.jpg,貂蝉.png,142,162
201806270232i18.jpg,达摩.png,75,153
201806270232i18.jpg,典韦.png,63,185
201806270232i18.jpg,阿珂.png,152,244
201806270232i19.jpg,雅典娜.png,40,41
201806270232i19.jpg,女娲.png,163,135
201806270232i19.jpg,貂蝉.png,148,162
201806270232i19.jpg,达摩.png,68,152
201806270232i19.jpg,典韦.png,62,190
201806270232i19.jpg,阿珂.png,168,245
201806270232i19.jpg,蔡文姬.png,274,258
201806270232i20.jpg,雅典娜.png,45,33
201806270232i20.jpg,哪吒.png,52,22
201806270232i20.jpg,女娲.png,161,140
201806270232i20.jpg,貂蝉.png,140,157
201806270232i20.jpg,达摩.png,74,151
201806270232i20.jpg,典韦.png,62,185
201806270232i20.jpg,阿珂.png,162,242
201806270232i20.jpg,干将莫邪.png,282,250
201806270232i21.jpg,雅典娜.png,44,33
201806270232i21.jpg,女娲.png,163,138
201806270232i21.jpg,貂蝉.png,140,155
201806270232i21.jpg,达摩.png,77,150
201806270232i21.jpg,典韦.png,60,188
201806270232i21.jpg,阿珂.png,170,241
201806270232i21.jpg,蔡文姬.png,288,259
201806270232i22.jpg,雅典娜.png,41,35
201806270232i22.jpg,女娲.png,164,135
201806270232i22.jpg,达摩.png,138,160
201806270232i22.jpg,典韦.png,62,190
201806270232i22.jpg,阿珂.png,150,245
201806270232i22.jpg,蔡文姬.png,284,271
201806270232i22.jpg,干将莫邪.png,270,263
201806270232i23.jpg,雅典娜.png,39,29
201806270232i23.jpg,哪吒.png,34,49
201806270232i23.jpg,女娲.png,162,129
201806270232i23.jpg,貂蝉.png,143,161
201806270232i23.jpg,达摩.png,72,148
201806270232i23.jpg,典韦.png,57,186
201806270232i23.jpg,阿珂.png,154,246
201806270232i23.jpg,干将莫邪.png,268,263
201806270232i24.jpg,雅典娜.png,34,30
201806270232i24.jpg,哪吒.png,20,47
201806270232i24.jpg,女娲.png,167,129
201806270232i24.jpg,貂蝉.png,151,163
201806270232i24.jpg,达摩.png,70,149
201806270232i24.jpg,典韦.png,62,188
201806270232i24.jpg,阿珂.png,173,245
201806270232i24.jpg,蔡文姬.png,288,266
201806270232i24.jpg,干将莫邪.png,262,265
201806270232i25.jpg,雅典娜.png,30,53
201806270232i25.jpg,哪吒.png,22,34
201806270232i25.jpg,女娲.png,166,131
201806270232i25.jpg,貂蝉.png,155,160
201806270232i25.jpg,达摩.png,70,157
201806270232i25.jpg,典韦.png,58,188
201806270232i25.jpg,阿珂.png,166,251
201806270232i25.jpg,干将莫邪.png,265,265
201806270232i25.jpg,蔡文姬.png,290,269
201806270232i26.jpg,雅典娜.png,34,40
201806270232i26.jpg,哪吒.png,18,34
201806270232i26.jpg,女娲.png,169,128
201806270232i26.jpg,貂蝉.png,147,151
201806270232i26.jpg,达摩.png,75,145
201806270232i26.jpg,典韦.png,60,187
201806270232i26.jpg,阿珂.png,171,256
201806270232i26.jpg,干将莫邪.png,267,259
201806270232i26.jpg,蔡文姬.png,283,271
201806270232i27.jpg,雅典娜.png,30,44
201806270232i27.jpg,哪吒.png,17,41
201806270232i27.jpg,女娲.png,170,134
201806270232i27.jpg,貂蝉.png,149,138
201806270232i27.jpg,达摩.png,76,150
201806270232i27.jpg,典韦.png,63,191
201806270232i27.jpg,阿珂.png,177,264
201806270232i27.jpg,干将莫邪.png,267,262
201806270232i27.jpg,蔡文姬.png,284,275
201806270232i28.jpg,雅典娜.png,24,56
201806270232i28.jpg,哪吒.png,13,55
